satisfaction,Age,Flight Distance,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Baggage handling,Online boarding
1,56,983,0,4,5,4,4,2,2,2,1
1,18,2317,0,4,3,0,3,3,4,4,3
1,48,953,0,4,5,3,3,1,1,1,4
1,47,2738,0,4,1,0,1,1,3,5,1
1,36,1819,0,4,5,0,5,5,4,1,5
1,49,920,0,4,3,4,4,3,3,5,4
1,46,868,0,4,5,1,3,1,1,1,4
1,9,1580,0,4,3,4,3,3,3,5,3
1,22,2649,0,4,5,0,5,5,3,4,5
1,29,2391,0,4,0,2,2,3,3,5,2
1,20,2575,0,4,5,4,5,5,5,4,5
1,20,2446,0,4,3,4,3,3,4,5,3
1,32,1940,0,4,3,0,1,3,3,4,3
1,41,2350,0,4,3,0,3,3,1,1,3
1,21,2082,0,4,2,0,2,2,4,3,2
1,14,1757,0,4,4,0,4,4,3,4,4
1,50,722,0,4,3,4,5,2,2,2,5
1,63,714,0,4,2,5,4,1,1,1,5
1,21,2371,0,4,2,0,2,2,4,4,2
1,42,2315,0,4,3,0,3,3,3,5,3
1,42,618,0,4,2,5,5,2,2,2,5
1,22,1388,0,4,4,0,4,4,3,4,4
1,41,1986,0,4,5,0,3,5,5,4,5
1,69,562,0,4,5,3,4,5,5,5,1
1,21,1762,0,4,2,0,5,2,3,4,2
1,33,2142,0,4,5,0,5,5,4,4,5
1,23,2135,0,4,4,0,4,4,5,4,4
1,69,1832,0,4,1,0,1,1,3,5,1
1,38,2001,0,4,1,0,1,1,4,4,1
1,60,503,0,4,4,3,4,3,3,3,4
1,44,467,0,4,3,4,5,5,5,2,4
1,54,1445,0,4,4,0,4,4,3,4,4
1,17,1191,0,4,1,0,3,1,4,5,1
1,58,1208,0,4,3,0,3,3,5,4,3
1,68,431,0,4,5,5,4,3,3,3,4
1,17,1194,0,4,4,0,4,4,4,3,4
1,44,418,0,4,3,4,5,2,2,2,4
1,17,1073,0,4,2,0,2,2,3,5,2
1,37,1559,0,4,5,0,5,5,1,3,5
1,70,359,0,4,2,4,5,3,3,3,5
1,39,1325,0,4,1,0,5,1,4,2,1
1,37,1897,0,4,5,0,5,5,4,1,5
1,19,1549,0,4,2,0,2,2,2,4,2
1,63,299,0,4,3,4,4,1,1,1,4
1,33,1478,0,4,1,0,1,1,5,5,1
1,41,1572,0,4,3,0,3,3,3,5,3
1,67,282,0,4,4,5,5,1,1,1,3
1,65,1784,0,4,5,0,4,5,4,4,5
1,37,977,0,4,3,0,3,3,5,5,3
1,12,1419,0,4,4,0,4,4,1,3,4
1,21,1048,0,4,5,0,5,5,5,4,5
1,41,964,0,4,1,0,1,1,2,3,1
1,40,1131,0,4,1,0,1,1,4,4,1
1,66,2486,0,5,2,5,5,5,5,5,5
1,38,3860,0,5,3,0,3,3,2,4,3
1,12,2947,0,5,1,0,1,1,5,5,1
1,51,1881,0,5,2,5,5,5,5,2,3
1,62,2576,0,5,4,0,4,4,3,5,4
1,70,2563,0,5,2,0,2,2,3,4,2
1,37,2215,0,5,4,0,4,4,4,4,4
1,16,1833,0,5,5,0,5,5,4,5,5
1,37,2080,0,5,4,0,4,4,4,4,4
1,56,2227,0,5,3,0,1,3,3,3,3
1,7,1927,0,5,3,0,3,3,3,5,3
1,54,371,0,5,3,4,4,5,5,5,4
1,16,2016,0,5,3,0,3,3,5,4,3
1,50,1235,0,5,4,0,3,4,4,4,4
1,20,2110,0,5,4,0,4,4,4,4,4
1,46,1456,0,5,1,0,1,1,5,5,1
1,45,1061,0,5,2,0,2,2,3,4,2
1,60,1396,0,5,2,0,2,2,4,4,2
1,27,975,0,5,2,0,2,2,4,5,2
1,28,2300,1,1,1,1,1,1,3,3,1
1,50,1281,1,1,3,3,5,4,4,4,3
1,42,1009,1,1,4,5,4,1,1,1,5
1,65,632,1,1,3,5,5,3,3,4,4
1,29,2744,1,2,2,1,1,2,4,3,2
1,68,2231,1,2,5,1,5,5,4,5,5
1,61,711,1,2,3,4,4,1,1,1,5
1,65,587,1,2,2,5,5,2,2,2,4
1,31,2108,1,2,1,1,5,1,4,5,1
1,50,2409,1,3,5,4,5,3,3,3,4
1,51,2280,1,3,5,1,4,5,4,5,5
1,41,1035,1,3,4,3,4,3,3,3,3
1,39,1920,1,3,3,1,1,3,4,5,3
1,55,2393,1,4,4,1,4,4,1,4,4
1,49,2202,1,4,4,1,4,4,2,4,4
1,28,1823,1,4,3,1,3,3,3,5,3
1,24,2139,1,5,1,1,1,1,5,5,1
1,13,6792,0,1,0,1,1,3,4,5,1
1,43,3714,0,1,0,5,5,3,4,5,5
1,55,2342,0,1,3,5,5,5,5,3,3
1,12,3113,0,1,0,1,1,5,2,5,1
1,51,2200,0,1,5,3,5,5,5,3,3
1,68,2992,0,1,5,0,5,5,5,5,5
1,29,3270,0,1,4,0,4,4,5,4,4
1,16,2697,0,1,1,0,1,1,5,4,1
1,35,2689,0,1,4,0,4,4,5,4,4
1,54,1343,0,1,4,4,5,2,2,4,3
1,39,2990,0,1,4,0,4,4,5,5,4
1,50,2466,0,1,2,0,2,2,3,1,2
1,25,1788,0,1,2,0,2,2,5,5,2
1,70,1016,0,1,4,4,4,2,2,3,4
1,53,2050,0,1,3,0,3,3,5,4,3
1,13,1976,0,1,1,0,1,1,5,5,1
1,54,2220,0,1,4,5,4,4,4,4,4
